,b'ArUcoTag#black',b'ArUcoTag#purple'
318,4.165188632841995,0.4067086510095071
319,3.8494261472618208,0.2042849506231472
320,7.541458868359671,2.149742823402317
321,5.6909875984138045,2.240119866510192
322,5.460060795827065,5.410886645418895
323,5.682324248451628,6.029058433556282
324,3.9111194305571986,2.443478699536955
325,5.295430667572783,0.6056515240901404
326,5.388027909678155,3.0393000126234075
327,5.360931222326038,4.41426189993416
328,4.887569328808064,1.8876169253067439
329,6.212801328786788,0.28540510266724045
330,6.033428240365453,0.1824370939453457
331,5.251715495322893,2.0211948668909274
332,5.606966319080437,3.180555892998876
333,6.615481021848391,2.965691082889436
334,4.5193939213105825,0.09869375800964399
335,5.518826224118389,3.0595404431406745
336,8.569007594944942,4.732380440562467
337,6.390601541740178,4.770846393424087
338,5.209808092279586,3.3199621801132433
339,6.165746055996937,2.247020007999883
340,6.160043907278797,1.9304971379180853
341,2.101716470661846,1.5979298693077508
342,1.6504418958368967,0.8186256486475765
343,0.33726694900143683,2.1307223509343274
344,1.6598762860270957,1.9752411251513295
345,4.719383598281828,0.6349226984673736
346,5.935750846964581,0.562902151171116
347,5.844728175061863,4.1011491323115346
348,6.82755181999705,4.192331653769776
349,5.61302371262206,3.1301578067657037
350,6.224035282969466,3.0050085456448645
351,5.826253253254619,2.5425558723724837
352,7.271174426866989,2.2856237186037642
353,7.866470766956076,2.089818111155451
354,6.30722615805738,2.166461094082266
355,6.739467917869233,2.8023019184534954
356,3.7206830082059184,2.985416715495612
357,4.919843936589055,3.451181339408535
358,5.094400459084868,4.818819824611495
359,6.609217640525906,4.886328255841462
360,8.691261589743059,3.7467286871578627
361,8.121658711050497,2.7433442512900856
362,12.36724443327114,2.4036687468941325
363,7.5412814465330005,2.7090159162020444
364,2.7889234290458655,3.0170869001530694
365,0.596417129121369,0.9010990282246107
366,5.554671724971236,2.2273831538702553
367,7.680659692224058,2.5562266531183564
368,6.902208428656629,5.814287731110721
369,7.797381104231488,5.695562141756244
370,6.5070624206169425,2.801884182798847
371,3.934233477071875,2.5624770922698152
372,5.080893461102522,4.78432799859073
373,5.6712449334000885,5.203522207732626
374,5.151089344577038,3.3598856171956424
375,5.209284351198207,0.6090591426669245
